fund,date,asset,weight
Combined Equal-Weight,2021-07-01,GE,0.016666666666666666
Combined Equal-Weight,2021-07-01,GILD,0.016666666666666666
Combined Equal-Weight,2021-07-01,GS,0.016666666666666666
Combined Equal-Weight,2021-07-01,INTC,0.016666666666666666
Combined Equal-Weight,2021-07-01,KO,0.016666666666666666
Combined Equal-Weight,2021-07-01,LTC-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,MMM,0.016666666666666666
Combined Equal-Weight,2021-07-01,MRK,0.016666666666666666
Combined Equal-Weight,2021-07-01,MS,0.016666666666666666
Combined Equal-Weight,2021-07-01,NEE,0.016666666666666666
Combined Equal-Weight,2021-07-01,NEM,0.016666666666666666
Combined Equal-Weight,2021-07-01,NKE,0.016666666666666666
Combined Equal-Weight,2021-07-01,NUE,0.016666666666666666
Combined Equal-Weight,2021-07-01,NVDA,0.016666666666666666
Combined Equal-Weight,2021-07-01,O,0.016666666666666666
Combined Equal-Weight,2021-07-01,OXY,0.016666666666666666
Combined Equal-Weight,2021-07-01,PLD,0.016666666666666666
Combined Equal-Weight,2021-07-01,PSA,0.016666666666666666
Combined Equal-Weight,2021-07-01,QCOM,0.016666666666666666
Combined Equal-Weight,2021-07-01,SBUX,0.016666666666666666
Combined Equal-Weight,2021-07-01,SHW,0.016666666666666666
Combined Equal-Weight,2021-07-01,SLB,0.016666666666666666
Combined Equal-Weight,2021-07-01,SO,0.016666666666666666
Combined Equal-Weight,2021-07-01,T,0.016666666666666666
Combined Equal-Weight,2021-07-01,TMUS,0.016666666666666666
Combined Equal-Weight,2021-07-01,TRX-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,TTWO,0.016666666666666666
Combined Equal-Weight,2021-07-01,UPS,0.016666666666666666
Combined Equal-Weight,2021-07-01,USB,0.016666666666666666
Combined Equal-Weight,2021-07-01,V,0.016666666666666666
Combined Equal-Weight,2021-07-01,WFC,0.016666666666666666
Combined Equal-Weight,2021-07-01,WMT,0.016666666666666666
Combined Equal-Weight,2021-07-01,XLM-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,XOM,0.016666666666666666
Combined Equal-Weight,2021-07-01,XRP-USD,0.016666666666666666
Combined Equal-Weight,2021-08-02,ABBV,0.016666666666666666
Combined Equal-Weight,2021-08-02,ABT,0.016666666666666666
Combined Equal-Weight,2021-08-02,ADA-USD,0.016666666666666666
Combined Equal-Weight,2021-08-02,ADBE,0.016666666666666666
Combined Equal-Weight,2021-08-02,AEP,0.016666666666666666
Combined Equal-Weight,2021-08-02,AMD,0.016666666666666666
Combined Equal-Weight,2021-08-02,AMGN,0.016666666666666666
Combined Equal-Weight,2021-08-02,AMT,0.016666666666666666
Combined Equal-Weight,2021-08-02,BA,0.016666666666666666
Combined Equal-Weight,2021-08-02,BCH-USD,0.016666666666666666
Combined Equal-Weight,2021-08-02,BTC-USD,0.016666666666666666
Combined Equal-Weight,2021-08-02,CAT,0.016666666666666666
Combined Equal-Weight,2021-08-02,CCI,0.016666666666666666
Combined Equal-Weight,2021-08-02,CMCSA,0.016666666666666666
Combined Equal-Weight,2021-08-02,COP,0.016666666666666666
Combined Equal-Weight,2021-08-02,CVX,0.016666666666666666
Combined Equal-Weight,2021-08-02,D,0.016666666666666666
Combined Equal-Weight,2021-08-02,DD,0.016666666666666666
Combined Equal-Weight,2021-08-02,DIS,0.016666666666666666
Combined Equal-Weight,2021-08-02,DOW,0.016666666666666666
Combined Equal-Weight,2021-08-02,DUK,0.016666666666666666
Combined Equal-Weight,2021-08-02,EA,0.016666666666666666
Combined Equal-Weight,2021-08-02,EOS-USD,0.016666666666666666
Combined Equal-Weight,2021-08-02,ETC-USD,0.016666666666666666
