fund,date,daily_return
Combined Equal-Weight,2022-05-12,-0.006284836576940928
Combined Equal-Weight,2022-05-13,0.02971034348845338
Combined Equal-Weight,2022-05-16,-0.008837458817569869
Combined Equal-Weight,2022-05-17,0.023522176558263535
Combined Equal-Weight,2022-05-18,-0.036568352952385266
Combined Equal-Weight,2022-05-19,0.006398791311356195
Combined Equal-Weight,2022-05-20,-0.00472162270689022
Combined Equal-Weight,2022-05-23,0.0106081092658785
Combined Equal-Weight,2022-05-24,0.005686548913250514
Combined Equal-Weight,2022-05-25,0.005888223167806835
Combined Equal-Weight,2022-05-26,0.0042446690341475385
Combined Equal-Weight,2022-05-27,0.011565068511086298
Combined Equal-Weight,2022-05-31,-0.004450962361167221
Combined Equal-Weight,2022-06-01,-0.016220122078898155
Combined Equal-Weight,2022-06-02,0.01624013380735481
Combined Equal-Weight,2022-06-03,-0.011271403291995528
Combined Equal-Weight,2022-06-06,0.004473021448710697
Combined Equal-Weight,2022-06-07,0.006515504781820812
Combined Equal-Weight,2022-06-08,-0.013009352302863542
Combined Equal-Weight,2022-06-09,-0.02068098499577959
Combined Equal-Weight,2022-06-10,-0.03016926038223657
Combined Equal-Weight,2022-06-13,-0.054737652165409836
Combined Equal-Weight,2022-06-14,-0.0034627853951064965
Combined Equal-Weight,2022-06-15,0.01998391741926174
Combined Equal-Weight,2022-06-16,-0.041892255552994244
Combined Equal-Weight,2022-06-17,0.0027328718837826135
Combined Equal-Weight,2022-06-21,0.018731182956851004
Combined Equal-Weight,2022-06-22,-0.008861850562642583
Combined Equal-Weight,2022-06-23,0.0100016140490976
Combined Equal-Weight,2022-06-24,0.030300955456340237
Combined Equal-Weight,2022-06-27,-0.0037082095460848007
Combined Equal-Weight,2022-06-28,-0.015119424936045182
Combined Equal-Weight,2022-06-29,-0.006696225000566496
Combined Equal-Weight,2022-06-30,-0.007535848717859894
Combined Equal-Weight,2022-07-01,0.005155360012899511
Combined Equal-Weight,2022-07-05,-0.008417589662965288
Combined Equal-Weight,2022-07-06,0.0027449040675721625
Combined Equal-Weight,2022-07-07,0.01812251090033878
Combined Equal-Weight,2022-07-08,-0.004392454474492609
Combined Equal-Weight,2022-07-11,-0.01564164553513321
Combined Equal-Weight,2022-07-12,-0.007135968983798229
